#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 01 04 19 30 999 99.0 99.0  1.02 16.67 11.38 296 9999.0 999.0  17.3 999.0 99.0 99.00
2018 01 04 20 00 999 99.0 99.0  1.03 13.33 11.10 295 9999.0 999.0  17.3 999.0 99.0 99.00
2018 01 04 20 30 999 99.0 99.0  0.98 13.33 10.65 287 9999.0 999.0  17.4 999.0 99.0 99.00
2018 01 04 21 00 999 99.0 99.0  0.95 16.67 10.87 289 9999.0 999.0  17.4 999.0 99.0 99.00
2018 01 04 21 28 999 99.0 99.0  1.02 18.18 11.30 284 9999.0 999.0  17.4 999.0 99.0 99.00
2018 01 04 22 00 999 99.0 99.0  1.05 13.33 11.74 278 9999.0 999.0  17.3 999.0 99.0 99.00
2018 01 04 22 30 999 99.0 99.0  1.07 16.67 12.19 284 9999.0 999.0  17.3 999.0 99.0 99.00
2018 01 04 23 30 999 99.0 99.0  1.18 18.18 11.89 284 9999.0 999.0  17.2 999.0 99.0 99.00
2018 01 05 00 00 999 99.0 99.0  1.17 12.50 11.67 292 9999.0 999.0  17.3 999.0 99.0 99.00
2018 01 05 00 30 999 99.0 99.0  1.05 16.67 11.65 288 9999.0 999.0  17.2 999.0 99.0 99.00
2018 01 05 01 00 999 99.0 99.0  1.29 16.67 12.42 285 9999.0 999.0  17.2 999.0 99.0 99.00
2018 01 05 01 30 999 99.0 99.0  1.32 16.67 12.51 284 9999.0 999.0  17.1 999.0 99.0 99.00
2018 01 05 02 00 999 99.0 99.0  1.20 16.67 12.06 282 9999.0 999.0  17.1 999.0 99.0 99.00
2018 01 05 02 30 999 99.0 99.0  1.25 16.67 12.08 284 9999.0 999.0  17.1 999.0 99.0 99.00
2018 01 05 03 30 999 99.0 99.0  1.35 16.67 12.41 285 9999.0 999.0  17.1 999.0 99.0 99.00
2018 01 05 04 00 999 99.0 99.0  1.33 16.67 12.54 278 9999.0 999.0  17.0 999.0 99.0 99.00
2018 01 05 04 30 999 99.0 99.0  1.39 16.67 12.80 289 9999.0 999.0  17.0 999.0 99.0 99.00
2018 01 05 05 00 999 99.0 99.0  1.14 16.67 12.08 277 9999.0 999.0  17.0 999.0 99.0 99.00
2018 01 05 05 30 999 99.0 99.0  1.32 15.38 13.06 289 9999.0 999.0  17.0 999.0 99.0 99.00
2018 01 05 06 00 999 99.0 99.0  1.31 15.38 12.78 281 9999.0 999.0  17.0 999.0 99.0 99.00
2018 01 05 06 30 999 99.0 99.0  1.31 16.67 12.35 281 9999.0 999.0  17.1 999.0 99.0 99.00
2018 01 05 07 00 999 99.0 99.0  1.34 15.38 12.41 298 9999.0 999.0  17.1 999.0 99.0 99.00
2018 01 05 07 30 999 99.0 99.0  1.31 15.38 12.17 292 9999.0 999.0  17.0 999.0 99.0 99.00
2018 01 05 08 00 999 99.0 99.0  1.65 15.38 13.39 288 9999.0 999.0  17.0 999.0 99.0 99.00
2018 01 05 08 30 999 99.0 99.0  1.40 15.38 12.54 298 9999.0 999.0  17.0 999.0 99.0 99.00
2018 01 05 09 00 999 99.0 99.0  1.40 15.38 12.23 291 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 05 09 30 999 99.0 99.0  1.36 15.38 12.09 299 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 05 10 00 999 99.0 99.0  1.39 15.38 11.65 289 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 05 10 30 999 99.0 99.0  1.31 15.38 11.15 289 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 05 11 00 999 99.0 99.0  1.32 14.29 10.92 291 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 05 11 30 999 99.0 99.0  1.23 15.38 11.10 275 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 05 12 00 999 99.0 99.0  1.29 15.38 11.07 295 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 05 12 30 999 99.0 99.0  1.44 14.29 11.55 291 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 05 13 00 999 99.0 99.0  1.32 15.38 11.18 289 9999.0 999.0  16.8 999.0 99.0 99.00
2018 01 05 13 30 999 99.0 99.0  1.38 15.38 11.43 285 9999.0 999.0  16.8 999.0 99.0 99.00
2018 01 05 14 00 999 99.0 99.0  1.30 15.38 10.94 292 9999.0 999.0  16.8 999.0 99.0 99.00
2018 01 05 14 30 999 99.0 99.0  1.31 15.38 11.09 284 9999.0 999.0  16.8 999.0 99.0 99.00
2018 01 05 15 00 999 99.0 99.0  1.42 14.29 11.44 291 9999.0 999.0  16.8 999.0 99.0 99.00
2018 01 05 15 30 999 99.0 99.0  1.47 15.38 11.79 289 9999.0 999.0  16.8 999.0 99.0 99.00
2018 01 05 15 58 999 99.0 99.0  1.30 13.33 10.88 292 9999.0 999.0  16.8 999.0 99.0 99.00
2018 01 05 16 30 999 99.0 99.0  1.26 14.29 11.25 292 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 05 17 00 999 99.0 99.0  1.23 14.29 10.83 287 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 05 17 30 999 99.0 99.0  1.27 14.29 11.09 282 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 05 18 00 999 99.0 99.0  1.28 14.29 10.90 295 9999.0 999.0  16.9 999.0 99.0 99.00
2018 01 05 18 30 999 99.0 99.0  1.17 13.33  9.85 291 9999.0 999.0  16.9 999.0 99.0 99.00
